date,channel,viewing_min,devices_used,location_count,trp_value,is_fake
2025-01-01,News24,436,20,864,2.673520754044409,0
2025-01-01,StarTV,422,4,528,2.729994991196743,0
2025-01-01,ZeeTV,412,1,917,3.7126967911292015,0
2025-01-01,SunTV,447,1,864,3.7123035143033767,0
2025-01-01,ABPNews,396,4,767,3.3994456295710953,0
2025-01-01,NDTV,422,17,463,3.233838737728465,0
2025-01-01,IndiaTV,439,11,733,3.0252353753087573,0
2025-01-01,CNNNews18,463,14,633,3.9896777880202823,0
2025-01-01,TimesNow,406,1,713,3.5246380983045977,0
2025-01-01,RepublicTV,450,7,858,3.698517631109941,0
2025-01-01,TV9,453,1,838,2.8961046871405784,0
2025-01-01,Asianet,430,18,766,2.552691073454475,0
2025-01-01,Colors,417,6,632,3.440892159313481,0
2025-01-01,SonyTV,405,1,732,2.8473927153666625,0
2025-01-01,StarPlus,412,1,743,2.9351126792879536,0
2025-01-01,ZeeCinema,412,1,713,2.4485549693321538,0
2025-01-01,StarMovies,472,1,679,3.1073320690431947,0
2025-01-01,HBO,455,3,614,2.9819264745008,0
2025-01-01,Discovery,408,7,594,3.6289681351646275,0
2025-01-01,NationalGeographic,408,5,522,3.438437984583469,0
2025-01-01,AnimalPlanet,435,7,659,3.375969854650519,0
2025-01-01,HistoryTV18,412,5,790,3.3185825253965566,0
2025-01-01,CartoonNetwork,458,3,550,3.598052325700328,0
2025-01-01,Pogo,438,6,652,2.4953729350916056,0
2025-01-01,Nickelodeon,398,1,422,3.4594651201331477,0
2025-01-01,SonyMax,424,1,760,3.210701657654704,0
2025-01-01,ZeeTelugu,439,1,885,2.535780998628139,0
2025-01-01,ETV,432,1,677,3.089861624726407,0
2025-01-01,GeminiTV,407,1,704,3.0522832931715356,0
2025-01-01,MaaTV,437,1,539,2.8560498794253877,0
2025-01-01,UdayaTV,445,4,712,3.44503427781217,0
2025-01-01,SuryaTV,457,1,737,3.9009208624746874,0
2025-01-01,KTV,421,12,536,3.710912663079512,0
2025-01-01,JayaTV,430,11,680,2.6815903789699886,0
2025-01-01,RajTV,423,17,695,2.834759110668318,0
2025-01-01,KalaignarTV,416,1,869,3.0494357414637894,0
2025-01-01,DDNews,440,12,570,3.899596013072412,0
2025-01-01,DDNational,430,1,719,3.1601442152282737,0
2025-01-01,DDSports,468,13,681,2.99399464215333,0
2025-01-01,TenSports,398,2,571,2.810606041967375,0
2025-01-01,StarSports,453,2,527,3.4972695274840833,0
2025-01-01,SonySports,434,6,816,3.695458179332017,0
2025-01-01,Eurosport,404,2,671,3.7748007849384466,0
2025-01-01,CNBC,453,3,607,2.8693188780789654,0
2025-01-01,BloombergTV,451,5,830,3.8665590983847578,0
2025-01-01,BBCWorld,417,10,722,3.8032723358638796,0
2025-01-01,AlJazeera,454,1,932,3.7863826337255646,0
2025-01-01,France24,465,1,839,3.0351319588562853,0
2025-01-01,VH1,421,3,845,3.6794065867820738,0
2025-01-01,MTV,442,13,838,2.7582370454502794,0
2025-01-02,News24,61,200,3631,9.665255591584904,1
2025-01-02,StarTV,34,179,3650,9.040899458377847,1
2025-01-02,ZeeTV,105,139,2934,8.09846849644454,0
2025-01-02,SunTV,82,126,2773,9.02852256229677,0
2025-01-02,ABPNews,48,125,2882,8.729455069170102,0
2025-01-02,NDTV,15,178,3449,9.51909920689557,1
2025-01-02,IndiaTV,66,140,2930,9.168511382712039,0
2025-01-02,CNNNews18,41,159,3565,9.882748400959324,1
2025-01-02,TimesNow,28,167,3440,8.51395647338883,1
2025-01-02,RepublicTV,59,200,3538,10.164397906310395,1
2025-01-02,TV9,46,166,3541,8.65802564063044,1
2025-01-02,Asianet,32,182,3839,9.869174289961984,1
2025-01-02,Colors,33,155,3563,9.240420814390006,1
2025-01-02,SonyTV,34,168,3596,10.01752827933094,1
2025-01-02,StarPlus,61,175,3840,9.443756656730269,1
2025-01-02,ZeeCinema,35,180,3869,9.532807526126826,1
2025-01-02,StarMovies,2,199,3541,9.576553427771735,1
2025-01-02,HBO,51,184,3667,9.943994818355101,1
2025-01-02,Discovery,84,121,2969,8.821172978269002,0
2025-01-02,NationalGeographic,30,163,3665,10.10453942413981,1
2025-01-02,AnimalPlanet,75,166,3621,9.171424951754904,1
2025-01-02,HistoryTV18,43,146,3725,9.875219552718834,1
2025-01-02,CartoonNetwork,32,177,3429,10.376369120512642,1
2025-01-02,Pogo,35,187,3516,8.87035039506243,1
2025-01-02,Nickelodeon,23,183,3439,9.738178145529844,1
2025-01-02,SonyMax,35,162,3641,9.51622183576837,1
2025-01-02,ZeeTelugu,92,121,2823,8.164116929332836,0
2025-01-02,ETV,34,167,3560,9.731134410736033,1
2025-01-02,GeminiTV,77,183,3942,9.453733725971475,1
2025-01-02,MaaTV,19,163,4072,9.245839959905553,1
2025-01-02,UdayaTV,62,126,2843,8.963991707729663,0
2025-01-02,SuryaTV,20,184,3710,9.378604483526289,1
2025-01-02,KTV,20,185,3516,8.685749474196477,1
2025-01-02,JayaTV,86,130,2853,8.44739151166967,0
2025-01-02,RajTV,65,182,3408,9.483170634887598,1
2025-01-02,KalaignarTV,21,184,3904,9.248374560561162,1
2025-01-02,DDNews,68,167,3683,9.0508828958526,1
2025-01-02,DDNational,76,168,3525,8.958793242424786,1
2025-01-02,DDSports,34,151,3654,8.765115401307614,1
2025-01-02,TenSports,4,192,3613,9.269635951662961,1
2025-01-02,StarSports,78,123,2826,8.803193450617968,0
2025-01-02,SonySports,29,158,3696,9.106687218581856,1
2025-01-02,Eurosport,44,169,3851,10.165491927870587,1
2025-01-02,CNBC,49,131,2896,8.000050245208323,0
2025-01-02,BloombergTV,61,119,2828,7.864048120403592,0
2025-01-02,BBCWorld,56,157,3625,8.979705894519713,1
2025-01-02,AlJazeera,77,116,2816,8.10755184721375,0
2025-01-02,France24,32,192,3643,9.695445836012528,1
2025-01-02,VH1,68,171,3659,10.362938401191991,1
2025-01-02,MTV,40,123,2764,8.613470043781971,0
2025-01-03,News24,426,1,936,3.189713124611614,0
2025-01-03,StarTV,392,13,645,3.1133559181619206,0
2025-01-03,ZeeTV,398,12,544,3.36415557522934,0
